"12 FLERIMAC RD|TORONTO, ONTARIO M1E4A9",0
"MAIN 42 RITSON RD S|OSHAWA, ONTARIO L1H5G9",202
"29 SPRINGER  DR|RICHMOND HILL, ONTARIO L4C0E9",203
"18 CHILD DR|AURORA, ONTARIO L4G1Y5",204
"334 MONARCH PARK AVE|TORONTO, ONTARIO M4J4T3",205
"284 WILLIAMSON RD|MARKHAM, ONTARIO L6E1X1",206
"123 LOWTHER AVE|RICHMOND HILL, ONTARIO L4E4P4",207
"71 KULPIN AVE|BRADFORD WEST GWILLIMBURY, ONTARIO L3Z1T6",208
"3RD FLR 89  ELLSWORTH AVE|TORONTO, ONTARIO M6G2K4",209
"13 OVERTURE LANE|BRAMPTON, ONTARIO L6S6H9",210
"45 DELLANO ST|MARKHAM, ONTARIO L3S2N8",211
"108 740 EGLINTON AVE W|TORONTO, ONTARIO M5N1C4",212
"37 ALVIN CURLING CRES|TORONTO, ONTARIO M1V0E7",213
"485 STRATHMORE BLVD|TORONTO, ONTARIO M4C1N8",214
"87 VALDOR  DR|TORONTO, ONTARIO M1V1R3",215
"223 GARDENBROOKE  TR|BRAMPTON, ONTARIO L6P3C9",216
"93 RICHARDSON DR|AURORA, ONTARIO L4G1Z4",217
"49 LONGFORD DR|NEWMARKET, ONTARIO L3Y2Y6",218
"23 COURTFIELD CRES|MARKHAM, ONTARIO L6C2R8",219
"A 23A LOOKOUT DR|CLARINGTON, ONTARIO L1C7G1",220
"25 GABRIELLE CRES|WHITBY, ONTARIO L1R3M6",221
"607 WYCHWOOD ST|OSHAWA, ONTARIO L1G2T4",222
"49 PORTAGE AVE|RICHMOND HILL, ONTARIO L4E2Z5",223
"42 MISTYCREEK CRES|BRAMPTON, ONTARIO L7A3E8",224
"151507 12TH LINE|EAST GARAFRAXA, ONTARIO L0N1G0",225
"2 156 ATHERTON AVE|AJAX, ONTARIO L1T0H8",226
"150 FONTESELVA AVE|VAUGHAN, ONTARIO L4H2H9",227
"B1 98 LEUTY AVE|TORONTO, ONTARIO M4E2R4",228
"49 TITAN TR|MARKHAM, ONTARIO L3S0E2",229
"601 COLBORNE ST E|WHITBY, ONTARIO L1N1W8",230
"B 485 ORIOLE PKWY|TORONTO, ONTARIO M5P2H9",231
"602 CALEDONIA RD W|TORONTO, ONTARIO M6E4V5",232
"25 HARNISH CRES|TORONTO, ONTARIO M2M2C2",233
"415 500 DAWES RD|TORONTO, ONTARIO M4B2G1",234
"603 500 DAWES RD|TORONTO, ONTARIO M4B2G1",235
"716 500 DAWES RD|TORONTO, ONTARIO M4B2G1",236
"1322 PLAYFORD RD|MISSISSAUGA, ONTARIO L5J3V7",237
"1 174 JOHN STREET S|HAMILTON, ONTARIO L8N2C6",238
"23 FAIRHOLT ROAD N|HAMILTON, ONTARIO L8M2S9",239
"503 15 QUEEN ST S|HAMILTON, ONTARIO L8P0C6",240
"2028 CANNING  CRES|BURLINGTON, ONTARIO L7P3S5",241
"8832 HALTON ERIN TOWNLINE UNIT A|ERIN, ONTARIO L7J2L9",242
"A 8832 HALTON ERIN TOWNLINE|ERIN, ONTARIO L7J2L9",243
"B 43 TISDALE ST S|HAMILTON, ONTARIO L8N2W1",244
"53 BROWNVILLE AVE|TORONTO, ONTARIO M6N4L2",245
"9 LAREDO CRT|TORONTO, ONTARIO M2M4H8",246
"160 RUGGLES  AVE W|RICHMOND HILL, ONTARIO L4C1Y4",247
"48 LINDVEST CRES E|VAUGHAN, ONTARIO L6A4N2",248
"127 HOLM CRES|MARKHAM, ONTARIO L3T5J4",249
"251B CHISHOLM AVE|TORONTO, ONTARIO M4C4W5",250
"69 BATCHFORD CRES|MARKHAM, ONTARIO L6B0C2",251
"174 SANTA AMATO CRES|VAUGHAN, ONTARIO L4J0E7",252
"2 78 GEORGE STREET|HAMILTON, ONTARIO L8P1C9",253
"TH13 93 THE QUEENSWAY AVE|TORONTO, ONTARIO M6S5A7",254
"9 SELINE CRES|BARRIE, ONTARIO L4N0Y6",255
"617 CARNEGIE AVE|OSHAWA, ONTARIO L1G4R4",256
"147 RUSHWORTH DR|AJAX, ONTARIO L1Z2A3",257
"39 WINDHILL  CRES|TORONTO, ONTARIO M9M1Y1",258
"348 CROSBY AVE|RICHMOND HILL, ONTARIO L4C2R7",259
"186 GRANDRAVINE DR|TORONTO, ONTARIO M3J1B7",260
"127 BRISTOL AVE|TORONTO, ONTARIO M6H3J8",261
"33 SHIRLEY ST|TORONTO, ONTARIO M6K1S8",262
"41 FLEETWELL CRT|TORONTO, ONTARIO M2R1L4",263
"207 325 SAMMON AVE|TORONTO, ONTARIO M4J2A1",264
"COACH 34 CARDREW ST|MARKHAM, ONTARIO L6B1G2",265
"53 MORNA AVE|TORONTO, ONTARIO M1E2A9",266
"3 262 SHERBOURNE ST|TORONTO, ONTARIO M5A2S1",267
"41 WALLACE ST|NEW TECUMSETH, ONTARIO L9R2G5",268
"3 ACTON  UNIT AVE|TORONTO, ONTARIO M3H4G6",269
"36 ISHERWOOD CRES|VAUGHAN, ONTARIO L4H3N9",270
"APT 1 2398 BLOOR ST W|TORONTO, ONTARIO M6S1P5",271
"2016 ERIN GATE BLVD|PICKERING, ONTARIO L1X2V5",272
"185 WINDALE CRESCENT UNIT 5D|KITCHENER, ONTARIO N2E0G3",273
"44 BELLEVUE AVE|TORONTO, ONTARIO M5T2N4",274
"53 NEWBURY DR|NEWMARKET, ONTARIO L3Y4P9",275
"54A 54 WATER ST|SCUGOG, ONTARIO L9L1J2",276
"16 LADY GWILLIM AVE|NEWMARKET, ONTARIO L9N0A5",277
"69 COLONIAL CRES|RICHMOND HILL, ONTARIO L4E3X3",278
"28 PRIDHAM PL|NEW TECUMSETH, ONTARIO L0G1W0",279
"47 GEE CRES|KAWARTHA LAKES, ONTARIO K9V0G9",280
"10 HERRIMAN ST|CLARINGTON, ONTARIO L1C4L6",281
"372 BURNS BLVD|KING, ONTARIO L7B1E1",282
"1510 TERRACOTTA  CRES|PICKERING, ONTARIO L1X2M8",283
"478 WINONA DR|TORONTO, ONTARIO M6C3T7",284
"36 ENFORD CRES|BRAMPTON, ONTARIO L7A4C7",285
"3 ANGELFISH RD|BRAMPTON, ONTARIO L7A5C5",286
"133 ADVENTURE CRES|VAUGHAN, ONTARIO L6A3J1",287
"162 HOLLYWOOD HILL CIRC|VAUGHAN, ONTARIO L4H2P2",288
"1398 CHARTER CRES|OSHAWA, ONTARIO L1J8K8",289
"49 HALDER CRES|MARKHAM, ONTARIO L3R7G3",290
"156 MCNICOLL AVE|TORONTO, ONTARIO M2H2B9",291
"137 YORKLAND ST|RICHMOND HILL, ONTARIO L4S1C5",292
"121 FREDERICK ST|BRADFORD WEST GWILLIMBURY, ONTARIO L3Z1P7",293
"588 MCBEAN AVE AVE N|NEWMARKET, ONTARIO L3X2L5",294
"254 ELBERN MARKELL DR|BRAMPTON, ONTARIO L6X3C2",295
"4 4 HUBBELL ROAD|BRAMPTON, ONTARIO L6Y2A5",296
"4 HUBBELL RD|BRAMPTON, ONTARIO L6Y2A5",297
"2 981983 LAKESHORE RD E|MISSISSAUGA, ONTARIO L5E1E5",298
"3 981983 LAKESHORE RD E|MISSISSAUGA, ONTARIO L5E1E5",299
"3737 PARTITION RD|MISSISSAUGA, ONTARIO L5N8N6",300
"3296 CAMBERWELL DR|MISSISSAUGA, ONTARIO L5M6T3",301
"681 CORONATION BOULEVARD|CAMBRIDGE, ONTARIO N1R3G5",302
"1322 MOWAT LANE|MILTON, ONTARIO L9T6C2",303
"188 HOLMES CRES|MILTON, ONTARIO L9T0V9",304
"311 HINTON TERR|MILTON, ONTARIO L9E1C8",305
"241 ETHERIDGE AVE|MILTON, ONTARIO L9E1H7",306
"32 DENLOW RD|BRAMPTON, ONTARIO L6Y2L4",307
"228 BERNARD AVE|RICHMOND HILL, ONTARIO L4S1E2",308
"290 BOGERT AVE|TORONTO, ONTARIO M2N1L5",309
"87 DAWES RD|TORONTO, ONTARIO M4C5B2",310
"46 GRADWELL DR|TORONTO, ONTARIO M1M2M9",311
"128A WEIR CRES|TORONTO, ONTARIO M1E3B4",312
"16 REGINA AVE|TORONTO, ONTARIO M6A1R1",313
"4 LARCHMERE AVE|TORONTO, ONTARIO M9L2N1",314
"22 CAPTAIN ROLPH BLVD|MARKHAM, ONTARIO L3P2P6",315
"109 YORKLAND ST|RICHMOND HILL, ONTARIO L4S1C4",316
"40 HENLEY CRES|TORONTO, ONTARIO M9W2W9",317
"128 FLETCHER AVE|AJAX, ONTARIO L1Z1G2",318
"14 BELTON CRT|WHITBY, ONTARIO L1N5P1",319
"11 DUVAL DR|TORONTO, ONTARIO M6L2J9",320
"2 PENBRIDGE  CIRC|BRAMPTON, ONTARIO L7A2P8",321
"67 COMMODORE DR|BRAMPTON, ONTARIO L6X0T4",322
"222 DUNVIEW BASMENT AVE|TORONTO, ONTARIO M2N4J1",323
"25 NOAKE  CRES|AJAX, ONTARIO L1T3L5",324
"18 MEADOW LANE AVE|TORONTO, ONTARIO M3L1C1",325
"28 CASTLE ROCK CRT|MARKHAM, ONTARIO L3S0C8",326
"174 GOLDEN GATE  CIRC|VAUGHAN, ONTARIO L4H1N5",327
"447 PORT ROYAL TR|TORONTO, ONTARIO M1V4P9",328
"303 1325 YORK MILLS RD|TORONTO, ONTARIO M3A1Z6",329
"231 MARGARET DR|OAKVILLE, ONTARIO L6K2W3",330
"19 REDNOR DR|BRAMPTON, ONTARIO L6P1P4",331
"47 LONGFORD DR|NEWMARKET, ONTARIO L3Y2Y6",332
"MAIN 32 LLOYD ST S|HAMILTON, ONTARIO L8L3H4",333
"102 204 KINGSTON RD|TORONTO, ONTARIO M4L1S7",334
"27 VIAMEDE CRES|TORONTO, ONTARIO M2K2A7",335
"301 210 CARLTON ST|TORONTO, ONTARIO M5A2L1",336
"307 PACIFIC AVE|TORONTO, ONTARIO M6P2P8",337
"202 270 HAGEN ST E|SOUTHGATE, ONTARIO N0C1B0",338
"189 CHERRYWOOD DR|NEWMARKET, ONTARIO L3Y2X9",339
"6 KERR LANE RD|AURORA, ONTARIO L4G0E5",340
"2004 ST PAUL  RD|INNISFIL, ONTARIO L9S1T6",341
"2 ROSS LINTON DR|AURORA, ONTARIO L4G6T3",342
"33 DROMORE  CRES|TORONTO, ONTARIO M2R2H4",343
"53 CHERHILL DR|VAUGHAN, ONTARIO L6A1H6",344
"9 RAMBLER  PL|TORONTO, ONTARIO M3L1N6",345
"117 BARLI CRES|VAUGHAN, ONTARIO L6A4S2",346
"103 MANITOU CRES|BRAMPTON, ONTARIO L6S2Z6",347
"32 TODMORDEN DR|BRAMPTON, ONTARIO L7A1M7",348
"33 BILBERMAR DR|RICHMOND HILL, ONTARIO L4S1B9",349
"27 MIDDLECOTE DR|AJAX, ONTARIO L1T0A4",350
"1294 SUNNINGDALE AVE|OSHAWA, ONTARIO L1H8G7",351
"1458 209 FORT YORK BLVD|TORONTO, ONTARIO M5V4A1",352
"106 1005 KING ST W|TORONTO, ONTARIO M6K3M8",353
"5 3215 THOMAS ST|MISSISSAUGA, ONTARIO L5M0M1",354
"3001 KEYNES CRES|MISSISSAUGA, ONTARIO L5N2Z9",355
"515 MAIN STREET SOUTH STREET UNIT 1|ROCKWOOD, ONTARIO N0B2K0",356
"1 36 GRANT AVENUE|HAMILTON, ONTARIO L8N2X5",357
"3 36 GRANT AVENUE|HAMILTON, ONTARIO L8N2X5",358
"39 KIMBLE AVE|CLARINGTON, ONTARIO L1C0J7",359
"84 CARTER DR|BRAMPTON, ONTARIO L6V3N5",360
"11 VALERIAN ST|BRAMPTON, ONTARIO L6P3N9",361
"2 105 BROCK ST S|WHITBY, ONTARIO L1N4J9",362
"163 CABANA DR|TORONTO, ONTARIO M9L1L2",363
"A 485 ORIOLE PKWY|TORONTO, ONTARIO M5P2H9",364
"3645 INDIGO CRES|MISSISSAUGA, ONTARIO L5N7J1",365
"153 GAINSBOROUGH RD|TORONTO, ONTARIO M4L3C3",366
"339 BYNG AVE|TORONTO, ONTARIO M2N4Y9",367
"39 VENZA CRT|BRAMPTON, ONTARIO L6X5K4",368
"19 MARINUCCI CRT|RICHMOND HILL, ONTARIO L4C0M3",369
"3 123 ROBINSON STREET|HAMILTON, ONTARIO L8P1Z3",370
"210 270 HAGEN ST|SOUTHGATE, ONTARIO N0C1B0",371
"270 HAGAN STREET UNIT 210|DUNDALK, ONTARIO N0C1B0",372
"3 SCARLETT DR|BRAMPTON, ONTARIO L6Y3S9",373
"17 WHITEFISH ST|WHITBY, ONTARIO L1P0K5",374
"43 PAGE CRES|MARKHAM, ONTARIO L3S1W2",375
"379 SHARON AVE|OSHAWA, ONTARIO L1H3S9",376
"80 CASTLEHILL RD|BRAMPTON, ONTARIO L6X4C8",377
"25 FEEDER ST|BRAMPTON, ONTARIO L7A4T7",378
"64 WALTER AVE|NEWMARKET, ONTARIO L3Y2T3",379
"156 SUNDEW DR|BARRIE, ONTARIO L4N9N1",380
"304 302 SPADINA AVE|TORONTO, ONTARIO M5T2E7",381
"880 COLLEGE ST|TORONTO, ONTARIO M6H1A3",382
"114 415 JARVIS ST|TORONTO, ONTARIO M4Y2G8",383
"230 RIVERMONT RD|BRAMPTON, ONTARIO L6Y6E1",384
"860 LIVERPOOL RD|PICKERING, ONTARIO L1W1S4",385
"2 HALLIDAY ST|AJAX, ONTARIO L1Z0N5",386
"544 GILLMOSS  RD|PICKERING, ONTARIO L1W3J4",387
"31 CLARION CRES|MARKHAM, ONTARIO L3S3M4",388
"20 WOODCROFT CRES|TORONTO, ONTARIO M6E1W8",389
"192  CANYON HILL  AVE|RICHMOND HILL, ONTARIO L4C0R3",390
"285 TERRA RD|VAUGHAN, ONTARIO L4L3J4",391
"36 RAVENWOOD  DR|BRAMPTON, ONTARIO L6Y3Y7",392
"21 ADANAC DR|WHITBY, ONTARIO L1N2K6",393
"305 BEECH ST W|WHITBY, ONTARIO L1N3B3",395
"311 80 KING WILLIAM STREET|HAMILTON, ONTARIO L8R0A1",396
"68 HIGHLAND RD|KITCHENER, ONTARIO N2M3B5",397
"35 VICMOUNT DRIVE|KITCHENER, ONTARIO N2M2A2",398
"63 WHEATFIELD  CRES|KITCHENER, ONTARIO N2P1P7",399
"2632  LUNDENE RD|MISSISSAUGA, ONTARIO L5J1P8",400
"321 CARRIAGE WAY N UNIT B|WATERLOO, ONTARIO N2K1S5",401
